,author,date,n_likes,n_reposts,with_photo,is_repost?,text,translation
0,dying,2015-08-17,14351,325,False,False,хотеть видеть каждый день,want to see every day
1,dying,2015-08-17,7098,144,False,False,жить жить твой жизнь появляться полина,live live your life appear polina
2,dying,2015-08-17,6439,121,False,False,скучать наташа,miss natasha
3,dying,2015-08-17,8469,221,False,False,давать бог каждый сердце искать,god give every heart to seek
4,dying,2015-08-17,3704,71,False,False,арина милашка арина бандитка арина псих арина хороший,arina cutie arina bandit arina psycho arina good
5,dying,2015-08-17,11242,257,False,False,человек который бросать слово ветер бросать мост,the person who throws the word wind throws the bridge
6,dying,2015-08-17,571,34,False,True,AppToday это необходимо скачать 16 авг 2015 20 27,AppToday is a must download 16 Aug 2015 20 27
7,dying,2015-08-17,7313,109,False,False,хотеть просыпаться видеть твой еблище,want to wake up to see your fucker
8,dying,2015-08-17,6788,164,False,False,принцеск,princess
9,dying,2015-08-17,3655,58,False,False,весь светок принцесски,the whole world of the princess
10,dying,2015-08-17,2625,29,False,False,каждый лида чей-то проблема,every lead is someone's problem
11,dying,2015-08-17,6562,167,False,False,хотеть больно,want to hurt
12,dying,2015-08-17,5621,86,False,False,уставать скучать блять,get tired get bored
13,dying,2015-08-17,5827,130,False,False,любовь любить шоколад,love love chocolate
14,dying,2015-08-17,3560,68,False,False,скучать алена,miss Alena
15,dying,2015-08-17,4553,85,False,False,здравствовать грусть,hello sadness
16,dying,2015-08-17,4747,111,False,False,любить лера писать лера гулять лерой обнимать лера ценить лера беречь лера,love Lera write Lera walk Leroy hug Lera appreciate Lera cherish Lera
17,dying,2015-08-17,3787,85,False,False,любовь подруга даша,love friend Dasha
18,dying,2015-08-17,4204,42,False,False,отсасывать просить,suck ask
19,dying,2015-08-17,10170,200,False,False,счастие глаз карий,happiness eyes brown
20,dying,2015-08-17,7937,167,False,False,вспомнить девочка который любить,remember the girl who love
21,dying,2015-08-17,5456,118,False,False,часто говорить представлять сколько думать,talk often imagine how much to think
22,dying,2015-08-17,3624,61,False,False,уезжать жить бельгия уезжать туда петь рапапа мочь навсегда,go live belgium go there sing rapapa be able forever
23,dying,2015-08-17,3846,137,False,False,3 разный личность 1 общительный громкий 2 тихий чертовски спокойный 3 ненавидеть каждый малый вещь раздражать,3 different personality 1 outgoing loud 2 quiet damn calm 3 hate every little thing annoying
24,dying,2015-08-17,2566,45,False,False,приходить работа работать глупый вопрос отвечать почему пьяный спать,come work work stupid question answer why drunk sleep
25,dying,2015-08-17,4458,187,False,False,"16 способ доставать родитель добавлять страница потерять 1 ходить дом 2 мычать корова называть твой имя 3 вбегать стена 4 говорить носить одежда противоречить твой религия 5 вставать около 4 утро огромный улыбка сказать добрый утро солнышко 6 вырывать кто-нибудь волос закричать днк !!"". 7 спрыгивать крыша попытка полететь 8 взять рука испуганный вид сказать видеть мертвец 9 попытаться поплавать пол 10 бегать весь дом лампочка кричать солнце оно умирать !"" 11 пить стакан сторона 12 приклеивать палец нос супер клей 13 поразговаривать ручка 14 взять мороженое прилеплять лоб утверждать прекрасный единорог 15 повключать повыклюкать свет сказать аааа понимать 16 кричать тон !!!! каждый душа","16 way to annoy parent add page lose 1 walk house 2 moo cow call your name 3 run in wall 4 talk wear clothes contradict your religion 5 get up around 4 morning huge smile say good morning sunshine 6 tear out somebody's hair scream dna!!"". 7 jump off the roof try to fly 8 take a hand scared look say see a dead man 9 try to swim the floor 10 run the whole house a light bulb scream the sun it's dying !"" 11 drink glass side 12 stick finger nose super glue 13 talk pen 14 take ice cream stick forehead affirm lovely unicorn 15 turn on turn off light say ahhh understand 16 shout tone !!!! every soul"
26,dying,2015-08-17,1242,18,False,False,каждый леша должный свой вика,each lyosha owes his wiki
27,dying,2015-08-16,3108,92,False,False,маша обижать лес багажник увидеть,masha offend forest trunk see
28,dying,2015-08-16,4137,65,False,False,каждый катя должный свой ящик водка,each katya owes his box of vodka
29,dying,2015-08-16,2367,29,False,False,дарить цветок дарить пожирать,to give a flower to give to devour
30,dying,2015-08-16,1428,23,False,False,алина юля становиться свой место ...,alina julia become your place...
31,dying,2015-08-16,1364,18,False,False,каждый анек должный свой никита,each anek owes its own nikita
32,dying,2015-08-16,2974,56,False,False,каждый должный свой яна,everyone owes his yana
33,dying,2015-08-16,2288,52,False,False,каждый должный свой полина,each one has his own polina
34,dying,2015-08-16,166,3,False,True,AppToday это необходимо скачать 15 авг 2015 9 54,AppToday is a must download 15 Aug 2015 9 54
35,dying,2015-08-16,2978,72,False,False,каждый должный свой соня,everyone owes his sleepyhead
36,dying,2015-08-16,3503,46,False,False,долбоеб,motherfucker
37,dying,2015-08-16,3144,93,False,False,принцесск,princess
38,dying,2015-08-16,2606,54,False,False,любовь подруга лиза,love girlfriend lisa
39,dying,2015-08-16,2864,49,True,False,сигарета приносить радость твой любить,cigarette bring joy to your love
40,dying,2015-08-16,1755,42,False,False,заниматься го фотка,do th photo
